year,discipline,gender,athlete,country,result,date
2001,800 метров,Мужчины,1:42.47,,Yuriy BORZAKOVSKIY,12 APR 1981
2002,800 метров,Мужчины,1:42.32,,Wilson KIPKETER,12 DEC 1972
2003,800 метров,Мужчины,1:42.52,,Wilfred BUNGEI,24 JUL 1980
2004,800 метров,Мужчины,1:43.06,,Wilfred BUNGEI,24 JUL 1980
2005,800 метров,Мужчины,1:43.70,,Wilfred BUNGEI,24 JUL 1980
2006,800 метров,Мужчины,1:43.09,,Mbulaeni MULAUDZI,08 SEP 1980
2007,800 метров,Мужчины,1:43.74,,Mbulaeni MULAUDZI,08 SEP 1980
2008,800 метров,Мужчины,1:42.69,,Abubaker KAKI,21 JUN 1989
2009,800 метров,Мужчины,1:42.01,,David RUDISHA,17 DEC 1988
2010,800 метров,Мужчины,1:41.01,,David RUDISHA,17 DEC 1988
2011,800 метров,Мужчины,1:41.33,,David RUDISHA,17 DEC 1988
2012,800 метров,Мужчины,1:40.91,,David RUDISHA,17 DEC 1988
2013,800 метров,Мужчины,1:42.37,,Mohammed AMAN,10 JAN 1994
2014,800 метров,Мужчины,1:42.45,,Nijel AMOS,15 MAR 1994
2015,800 метров,Мужчины,1:42.51,,Amel TUKA,09 JAN 1991
2016,800 метров,Мужчины,1:42.15,,David RUDISHA,17 DEC 1988
2017,800 метров,Мужчины,1:43.10,,Emmanuel Kipkurui KORIR,15 JUN 1995
2018,800 метров,Мужчины,1:42.05,,Emmanuel Kipkurui KORIR,15 JUN 1995
2019,800 метров,Мужчины,1:41.89,,Nijel AMOS,15 MAR 1994
2020,800 метров,Мужчины,1:43.15,,Donavan BRAZIER,15 APR 1997
2021,800 метров,Мужчины,1:42.91,,Nijel AMOS,15 MAR 1994
2022,800 метров,Мужчины,1:43.26,,Emmanuel Kipkurui KORIR,15 JUN 1995
2023,800 метров,Мужчины,1:42.80,,Emmanuel WANYONYI,01 AUG 2004
2024,800 метров,Мужчины,1:41.11,,Emmanuel WANYONYI,01 AUG 2004
2001,800 метров,Женщины,1:56.85,,Maria de Lurdes MUTOLA,27 OCT 1972
2002,800 метров,Женщины,1:55.19,,Jolanda ČEPLAK,12 SEP 1976
2003,800 метров,Женщины,1:55.55,,Maria de Lurdes MUTOLA,27 OCT 1972
2004,800 метров,Женщины,1:56.23,,Tatyana ANDRIANOVA,10 DEC 1979
2005,800 метров,Женщины,1:56.07,,Tatyana ANDRIANOVA,10 DEC 1979
2006,800 метров,Женщины,1:56.66,,Janeth JEPKOSGEI,13 DEC 1983
2007,800 метров,Женщины,1:56.04,,Janeth JEPKOSGEI,13 DEC 1983
2008,800 метров,Женщины,1:54.01,,Pamela JELIMO,05 DEC 1989
2009,800 метров,Женщины,1:55.45,,Caster SEMENYA,07 JAN 1991
2010,800 метров,Женщины,1:57.34,,Alysia MONTAÑO,23 APR 1986
2011,800 метров,Женщины,1:56.35,,Caster SEMENYA,07 JAN 1991
